Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,row
33,33,Tamanduate,-23.59290,-46.5897,22,53071,42,60,43,NORMAL,22,2018-8-16,16,3106
39,3,Consolao,-23.5581,-46.6606,14,115378,35,13,7,NORMAL,31,2018-3-10,52,2230
43,1,Luz,-23.5365,-46.6332,31,127031,56,47,34,NORMAL,13,2018-3-6,3,10866
36,20,Consolao,-23.5581,-46.6606,35,114007,46,53,31,NORMAL,43,2018-4-27,53,2277
38,14,Luz,-23.5365,-46.6332,25,126125,65,14,24,NORMAL,14,2018-6-14,51,10964
43,21,Consolao,-23.5581,-46.6606,40,114712,47,50,34,NORMAL,29,2018-10-7,31,2437
40,36,Consolao,-23.5581,-46.6606,37,112058,4,53,38,NORMAL,21,2019-7-27,18,2727
25,22,Luz,-23.5365,-46.6332,40,127220,38,86,9,NORMAL,5,2019-8-21,14,11391
38,14,Consolao,-23.5581,-46.6606,28,112331,61,73,32,NORMAL,22,2019-12-25,52,2875
12,40,S,-23.55,-46.6333,5,194623,2,15,24,REABASTECER,35,2018-8-12,34,3822
38,22,Tamanduate,-23.59290,-46.5897,37,49772,6,74,14,REABASTECER,13,2018-1-20,11,2900
16,38,Tamanduate,-23.59290,-46.5897,21,53202,61,24,27,NORMAL,35,2018-4-10,41,2980
39,34,Ana Rosa,-23.5813,-46.6383,25,64234,46,4,16,REABASTECER,37,2018-3-4,24,11584
33,35,S,-23.55,-46.6333,27,194795,65,23,26,NORMAL,34,2018-12-8,65,3938
20,10,Ana Rosa,-23.5813,-46.6383,39,64436,24,72,35,NORMAL,23,2018-7-9,13,11709
33,3,Tamanduate,-23.59290,-46.5897,29,50417,57,43,43,REABASTECER,14,2018-8-27,65,3117
7,43,Tamanduate,-23.59290,-46.5897,31,53429,63,59,43,REABASTECER,6,2018-11-5,40,3185
19,35,Tamanduate,-23.59290,-46.5897,28,50217,13,38,15,NORMAL,8,2018-12-5,20,3215
14,8,Ana Rosa,-23.5813,-46.6383,17,66105,33,70,30,NORMAL,43,2018-11-8,37,11828
25,43,S,-23.55,-46.6333,5,191967,45,34,38,REABASTECER,43,2019-9-5,20,4205
37,35,Tamanduate,-23.59290,-46.5897,23,51101,56,9,39,REABASTECER,12,2019-4-8,65,3338
43,10,Tamanduate,-23.59290,-46.5897,43,49829,12,46,16,NORMAL,2,2019-5-19,36,3379
43,28,Higienpolis-Mackenzie,-23.5488,-46.6519,14,90335,14,86,7,NORMAL,18,2018-6-6,36,7356
9,37,Faria Lima,-23.5675,-46.6929,12,52666,29,46,43,NORMAL,33,2019-3-15,42,8355
7,9,Eucaliptos,-23.61,-46.6686,17,25056,52,60,37,NORMAL,27,2019-4-15,36,16305
43,28,Faria Lima,-23.5675,-46.6929,8,54153,15,50,43,NORMAL,23,2019-7-22,28,8482
31,20,Faria Lima,-23.5675,-46.6929,1,54049,39,47,9,NORMAL,9,2019-10-23,24,8573
8,10,Faria Lima,-23.5675,-46.6929,9,54384,12,73,34,NORMAL,28,2019-11-9,54,8589
30,12,Higienpolis-Mackenzie,-23.5488,-46.6519,9,93428,40,10,7,NORMAL,43,2019-7-28,11,7768
35,24,Faria Lima,-23.5675,-46.6929,20,53304,57,47,29,NORMAL,17,2019-12-2,14,8612
43,10,Eucaliptos,-23.61,-46.6686,9,25551,55,36,21,NORMAL,43,2019-10-8,21,16478
10,28,Eucaliptos,-23.61,-46.6686,12,23566,26,86,40,NORMAL,25,2019-12-16,14,16546
25,33,Faria Lima,-23.5675,-46.6929,41,52007,41,25,30,NORMAL,16,2018-1-16,28,7936
35,38,Moema,-23.5489,-46.6388,23,17333,34,28,3,REABASTECER,10,2018-4-5,35,16655
12,30,Faria Lima,-23.5675,-46.6929,29,52368,53,18,30,REABASTECER,1,2018-3-1,49,7981
36,6,Faria Lima,-23.5675,-46.6929,10,54829,33,74,11,NORMAL,9,2018-8-26,56,8156
43,23,Faria Lima,-23.5675,-46.6929,28,53661,65,42,14,NORMAL,33,2018-10-5,48,8195
24,5,Faria Lima,-23.5675,-46.6929,21,53455,56,19,5,REABASTECER,7,2019-2-30,11,8340
9,37,Faria Lima,-23.5675,-46.6929,12,52666,29,46,43,NORMAL,33,2019-3-15,42,8355
7,32,Faria Lima,-23.5675,-46.6929,7,51521,21,35,41,NORMAL,27,2019-3-16,38,8356
29,22,Paraso,-23.57677,-46.63933,17,72495,29,86,6,NORMAL,4,2018-6-18,8,168
10,15,Paraso,-23.57677,-46.63933,37,73381,8,46,39,NORMAL,28,2018-9-28,55,268
43,27,Paraso,-23.57677,-46.63933,7,71837,65,86,18,NORMAL,17,2018-11-24,56,324
43,38,Pinheiros,-23.5664,-46.703,30,78541,19,65,21,NORMAL,17,2018-1-20,65,8660
37,15,Paraso,-23.57677,-46.63933,27,72239,58,34,19,REABASTECER,28,2019-2-11,8,401
8,18,Pinheiros,-23.5664,-46.703,36,78873,11,16,43,NORMAL,35,2018-11-6,36,8946
25,42,Paraso,-23.57677,-46.63933,38,70606,42,77,41,NORMAL,19,2019-11-29,24,689
5,32,Butant,-23.5844,-46.7252,41,65826,5,55,33,NORMAL,15,2019-7-12,42,9912
10,7,Butant,-23.5844,-46.7252,43,67175,34,86,34,NORMAL,22,2019-8-23,14,9953
7,9,Brigadeiro,-23.5683,-46.6482,13,47827,27,79,30,NORMAL,17,2018-3-13,16,793
13,42,Butant,-23.5844,-46.7252,11,65330,17,40,30,NORMAL,16,2019-11-27,22,10047
43,14,Pinheiros,-23.5664,-46.703,43,79693,32,16,8,NORMAL,38,2019-8-1,13,9211
22,39,Fradique Coutinho,-23.5661,-46.6841,7,36548,35,18,32,NORMAL,29,2018-1-26,17,10106
33,10,Fradique Coutinho,-23.5661,-46.6841,31,35817,52,34,9,REABASTECER,6,2018-2-3,35,10113
24,20,Pinheiros,-23.5664,-46.703,5,78359,44,47,19,REABASTECER,41,2019-10-3,34,9273
43,16,Brigadeiro,-23.5683,-46.6482,43,47657,42,86,12,NORMAL,37,2018-10-6,30,996
15,38,Brigadeiro,-23.5683,-46.6482,28,48438,29,32,9,NORMAL,22,2018-12-15,8,1065
43,21,Brigadeiro,-23.5683,-46.6482,33,49695,65,35,36,NORMAL,11,2019-1-11,28,1091
20,43,Fradique Coutinho,-23.5661,-46.6841,23,36833,6,45,31,REABASTECER,37,2018-7-2,48,10262
43,7,Brigadeiro,-23.5683,-46.6482,15,46238,30,50,38,REABASTECER,11,2019-4-8,7,1178
30,29,Fradique Coutinho,-23.5661,-46.6841,33,36834,65,64,23,NORMAL,16,2018-12-18,2,10428
28,27,Brigadeiro,-23.5683,-46.6482,14,46341,26,4,43,NORMAL,41,2019-9-4,36,1324
5,30,Brigadeiro,-23.5683,-46.6482,9,47866,48,55,20,NORMAL,28,2019-10-13,29,1363
8,13,Fradique Coutinho,-23.5661,-46.6841,34,34590,23,31,43,REABASTECER,43,2019-9-23,9,10703
10,34,Trianon-Masp,-23.5634,-46.6544,25,44438,65,19,15,NORMAL,43,2018-8-29,27,1679
39,7,Luz,-23.5365,-46.6332,36,125136,56,31,39,NORMAL,18,2018-3-16,65,10876
7,15,Fradique Coutinho,-23.5661,-46.6841,32,35232,17,86,17,NORMAL,10,2018-1-19,65,10099
36,24,Luz,-23.5365,-46.6332,3,127569,50,70,4,REABASTECER,10,2018-8-11,65,11021
7,20,Trianon-Masp,-23.5634,-46.6544,37,45080,29,24,43,NORMAL,31,2019-3-1,26,1861
9,11,Fradique Coutinho,-23.5661,-46.6841,36,35122,65,78,22,NORMAL,7,2018-5-14,44,10214
22,28,Luz,-23.5365,-46.6332,36,124281,28,49,25,NORMAL,33,2018-11-10,39,11110
12,39,Luz,-23.5365,-46.6332,29,127379,18,86,11,NORMAL,29,2018-11-23,12,11123
13,35,Luz,-23.5365,-46.6332,37,126965,30,61,7,NORMAL,24,2019-4-18,54,11268
43,43,Consolao,-23.5581,-46.6606,43,114228,65,86,43,NORMAL,43,2018-1-1,65,2161
8,39,Consolao,-23.5581,-46.6606,28,113155,10,3,21,REABASTECER,13,2018-1-18,65,2178
35,3,Consolao,-23.5581,-46.6606,7,113526,4,60,8,REABASTECER,13,2018-2-1,51,2191
36,43,Consolao,-23.5581,-46.6606,18,113499,58,35,17,NORMAL,8,2018-2-12,39,2202
30,10,Consolao,-23.5581,-46.6606,13,113766,48,71,26,NORMAL,43,2018-4-17,65,2267
30,7,Consolao,-23.5581,-46.6606,27,111880,11,70,31,NORMAL,3,2018-7-14,12,2354
30,14,Fradique Coutinho,-23.5661,-46.6841,37,34116,60,55,24,NORMAL,32,2019-12-17,27,10787
34,40,Luz,-23.5365,-46.6332,13,124244,46,53,31,NORMAL,12,2018-2-27,60,10857
29,34,Luz,-23.5365,-46.6332,8,126658,40,40,25,NORMAL,9,2018-2-28,54,10858
